State_Name,County_Name,Geography_Code_Concatenated_Geography_Code,Total_Specified_Consumer_Expenditures,Food_At_Home,Cereals_AND_Cereal_Products,Cereals,Rice,Total_Specified_Consumer_Expenditures_color,Food_At_Home_color,Cereals_AND_Cereal_Products_color,Cereals_color,Rice_color
Alabama             ,Autauga                  ,C1001,981764371,116173447,5201689,2994858,17%,#238b45,#d7301f,#6a51a3,#1d91c0,#fd8d3c
Arizona             ,Apache                   ,C4001,978973533,148510604,7348935,4055112,23%,#238b45,#d7301f,#6a51a3,#225ea8,#bd0026
Arkansas            ,Arkansas                 ,C5001,326297325,40054875,1675295,1019766,16%,#99d8c9,#fdbb84,#dadaeb,#c7e9b4,#fd8d3c
California          ,Alameda                  ,C6001,32696144324,3605680412,191320690,85101017,50%,#00441b,#7f0000,#3f007d,#081d58,#800026
Colorado            ,Adams                    ,C8001,8731572876,1007361380,46463958,26715020,21%,#00441b,#7f0000,#3f007d,#081d58,#e31a1c
Connecticut         ,Fairfield                ,C9001,21274049906,2218795900,108464092,59077593,25%,#00441b,#7f0000,#3f007d,#081d58,#bd0026
Delaware            ,Kent                     ,C10001,2975901927,346004351,15702601,8955226,19%,#006d2c,#b30000,#54278f,#253494,#e31a1c
District of Columbia,District of Columbia            ,C11001,16057183425,1484495308,66087191,34613281,32%,#00441b,#7f0000,#3f007d,#081d58,#800026
Florida             ,Alachua                  ,C12001,5107689773,550342798,24725427,12581354,32%,#00441b,#7f0000,#3f007d,#081d58,#800026
Georgia             ,Appling                  ,C13001,295475150,37830049,1625073,967393,17%,#ccece6,#fdd49e,#dadaeb,#c7e9b4,#fc4e2a
Hawaii              ,Hawaii                   ,C15001,3134131324,408107595,23022936,9673712,60%,#006d2c,#b30000,#3f007d,#253494,#800026
Idaho               ,Ada                      ,C16001,7751199704,936017098,41662744,24869440,15%,#00441b,#7f0000,#3f007d,#081d58,#fd8d3c
Illinois            ,Adams                    ,C17001,1245136136,149500310,7006372,4213467,12%,#238b45,#d7301f,#6a51a3,#225ea8,#ffeda0
Indiana             ,Adams                    ,C18001,478727475,65947551,3404625,1979206,14%,#66c2a4,#fc8d59,#9e9ac8,#41b6c4,#fed976
Iowa                ,Adair                    ,C19001,140439661,16707001,783117,479368,11%,#f7fcfd,#fff7ec,#fcfbfd,#ffffd9,#ffffff
Kansas              ,Allen                    ,C20001,240106485,29712280,1405951,850665,12%,#ccece6,#fdd49e,#dadaeb,#c7e9b4,#ffeda0
Kentucky            ,Adair                    ,C21001,329615358,40740376,1714816,1037795,15%,#99d8c9,#fdbb84,#dadaeb,#c7e9b4,#feb24c
Louisiana           ,Acadia Parish                   ,C22001,914182416,122464365,5517115,3178770,16%,#41ae76,#d7301f,#6a51a3,#225ea8,#fd8d3c
Maine               ,Androscoggin             ,C23001,1962676454,236244607,11354192,6821131,12%,#006d2c,#b30000,#54278f,#253494,#ffffcc
Maryland            ,Allegany                 ,C24001,1259922473,150145546,6481042,3772948,15%,#238b45,#d7301f,#6a51a3,#225ea8,#feb24c
Massachusetts       ,Barnstable               ,C25001,4939013444,537964288,23935967,15050410,11%,#00441b,#7f0000,#3f007d,#081d58,#ffffff
Michigan            ,Alcona                   ,C26001,199387091,25394799,1163046,713761,11%,#e5f5f9,#fee8c8,#efedf5,#edf8b1,#ffffff
Minnesota           ,Aitkin                   ,C27001,311216909,38134686,1768752,1087731,11%,#ccece6,#fdd49e,#dadaeb,#7fcdbb,#ffffff
Mississippi         ,Adams                    ,C28001,450956183,59323516,2558566,1530415,20%,#66c2a4,#fc8d59,#9e9ac8,#41b6c4,#e31a1c
Missouri            ,Adair                    ,C29001,553432055,59279317,2780359,1631609,14%,#66c2a4,#fc8d59,#9e9ac8,#41b6c4,#feb24c
Montana             ,Beaverhead               ,C30001,183595303,22570928,961872,593013,12%,#e5f5f9,#fee8c8,#efedf5,#edf8b1,#ffeda0
Nebraska            ,Adams                    ,C31001,624326613,70899701,3353932,2005297,14%,#66c2a4,#fc8d59,#9e9ac8,#41b6c4,#fed976
Nevada              ,Churchill                ,C32001,425403806,55614270,2586181,1505777,15%,#99d8c9,#fc8d59,#9e9ac8,#41b6c4,#fd8d3c
New Hampshire       ,Belknap                  ,C33001,1163292164,141896369,6766792,3852788,20%,#238b45,#d7301f,#6a51a3,#225ea8,#e31a1c
New Jersey          ,Atlantic                 ,C34001,5046264737,584120967,29493529,16414154,22%,#00441b,#7f0000,#3f007d,#081d58,#e31a1c
New Mexico          ,Bernalillo               ,C35001,13971783570,1571777799,70257197,41024539,21%,#00441b,#7f0000,#3f007d,#081d58,#e31a1c
New York            ,Albany                   ,C36001,7221555459,728841858,33569517,20083467,16%,#00441b,#7f0000,#3f007d,#081d58,#fd8d3c
North Carolina      ,Alamance                 ,C37001,2774838504,331031249,14134898,8422518,18%,#006d2c,#b30000,#54278f,#253494,#fc4e2a
North Dakota        ,Adams                    ,C38001,41632353,5035023,245517,145526,11%,#ffffff,#ffffff,#ffffff,#ffffff,#ffffff
Ohio                ,Adams                    ,C39001,438826767,60394308,2864281,1708162,13%,#66c2a4,#fc8d59,#9e9ac8,#41b6c4,#ffeda0
Oklahoma            ,Adair                    ,C40001,308634700,43848226,1947888,1147802,17%,#ccece6,#fdbb84,#bcbddc,#7fcdbb,#fc4e2a
Oregon              ,Baker                    ,C41001,300410753,39247992,1679211,1048627,12%,#ccece6,#fdd49e,#dadaeb,#c7e9b4,#ffffcc
Pennsylvania        ,Adams                    ,C42001,1993389930,228342803,10879823,6485020,13%,#006d2c,#b30000,#54278f,#253494,#fed976
Rhode Island        ,Bristol                  ,C44001,1186784772,124299324,5850282,3325525,19%,#238b45,#d7301f,#6a51a3,#225ea8,#e31a1c
South Carolina      ,Abbeville                ,C45001,411511148,52014067,2221673,1334976,17%,#99d8c9,#fdbb84,#bcbddc,#7fcdbb,#fc4e2a
Tennessee           ,Anderson                 ,C47001,1440277844,168014164,6938096,4209244,14%,#238b45,#d7301f,#6a51a3,#225ea8,#feb24c
