geo,statistics
Alameda,1035442
Alpine,1
Amador,2391
Butte,63482
Calaveras,1363
Colusa,1880
Contra Costa,472957
Del Norte,2195
El Dorado,27460
Fresno,396824
Glenn,2388
Humboldt,30388
Imperial,38422
Inyo,1511
Kern,254238
Kings,23129
Lake,4418
Lassen,2028
Los Angeles,7600275
Madera,17177
Marin,99460
Mariposa,1
Mendocino,14314
Merced,59912
Modoc,1
Mono,1535
Monterey,163938
Napa,44998
Nevada,13346
Orange,2112154
Placer,81060
Plumas,339
Riverside,643409
Sacramento,707997
San Benito,11323
San Bernardino,842677
San Diego,1576752
San Francisco,634775
San Joaquin,287060
San Luis Obispo,73023
San Mateo,456086
Santa Barbara,174650
Santa Clara,1193566
Santa Cruz,127267
Shasta,42888
Sierra,3
Siskiyou,4696
Solano,153145
Sonoma,181109
Stanislaus,201365
Sutter,27502
Tehama,7969
Trinity,1
Tulare,103544
Tuolumne,6413
Ventura,414577
Yolo,73967
Yuba,16793
