geo,statistics
Alameda,749
Alpine,NA
Amador,32
Butte,170
Calaveras,49
Colusa,18
Contra Costa,495
Del Norte,27
El Dorado,119
Fresno,391
Glenn,22
Humboldt,91
Imperial,61
Inyo,18
Kern,371
Kings,49
Lake,65
Lassen,23
Los Angeles,3845
Madera,90
Marin,144
Mariposa,17
Mendocino,60
Merced,124
Modoc,NA
Mono,NA
Monterey,165
Napa,111
Nevada,88
Orange,1370
Placer,245
Plumas,13
Riverside,1026
Sacramento,793
San Benito,23
San Bernardino,837
San Diego,1494
San Francisco,459
San Joaquin,346
San Luis Obispo,167
San Mateo,390
Santa Barbara,197
Santa Clara,685
Santa Cruz,107
Shasta,167
Sierra,NA
Siskiyou,46
Solano,230
Sonoma,301
Stanislaus,275
Sutter,60
Tehama,67
Trinity,23
Tulare,205
Tuolumne,53
Ventura,348
Yolo,76
Yuba,59
