geo,statistics,AA_rate
90001,203,87.92
90002,214,106.93
90003,395,157.79
90004,128,68.81
90005,72,57.62
90006,172,92
90007,102,95.52
90008,173,214.53
90011,372,85.92
90012,16,31
90015,50,88.27
90016,185,132.35
90017,74,88.25
90018,192,123.63
90019,157,85.93
90020,101,88.83
90022,167,69.44
90023,138,81.67
90024,20,59.44
90025,20,40.95
90026,154,76.6
90027,42,47.47
90028,46,74.01
90029,78,70.42
90031,72,52.94
90032,96,63.71
90033,142,77.53
90034,83,74.36
90035,27,49.47
90036,22,43.17
90037,244,114.56
90038,73,83.08
90039,57,88.29
90040,23,52.17
90041,42,61.71
90042,153,75.93
90043,198,152.02
90044,486,142.88
90045,45,50.72
90046,22,44.57
90047,236,159.86
90048,15,68.14
90049,20,37.81
90056,19,103.4
90057,123,88.99
90058,24,168.14
90059,252,155.94
90061,139,141.45
90062,142,151.82
90063,131,63.75
90064,20,43.78
90065,101,72.13
90066,54,48.14
90201,257,60.51
90220,267,147.68
90221,191,89.91
90222,132,110.95
90230,67,93.57
90232,12,34.72
90240,51,80.23
90241,94,79.8
90242,119,84.93
90247,146,105.73
90248,22,84.3
90249,69,88.51
90250,278,88.91
90255,204,68.59
90260,119,108.17
90262,215,80.88
90266,18,22.74
90270,69,62.38
90275,21,24.26
90277,21,38.44
90278,33,39.5
90280,247,68.25
90291,23,51.11
90301,118,92.96
90302,106,107.83
90303,104,111.76
90304,82,75.31
90305,55,159.87
90403,13,48.85
90404,27,74.71
90405,15,41.09
90501,99,86.49
90502,23,54.63
90503,47,50.86
90504,49,69.39
90505,20,26.31
90601,112,130.36
90602,56,68.64
90603,25,54.89
90604,130,110.65
90605,153,123.75
90606,100,97.9
90620,86,71.63
90621,81,73.53
90623,19,57.52
90630,46,40.49
90631,122,63.3
90638,75,64.92
90640,105,56.72
90650,299,88.29
90660,142,69.95
90670,43,100.49
90680,71,71.47
90701,26,57.88
90703,58,58.06
90706,255,102.66
90710,56,70.35
90712,58,69.42
90713,41,58.13
90715,62,108.13
90716,43,80.91
90717,22,42.33
90720,17,39.16
90723,176,81.73
90731,150,90.26
90732,18,42.34
90744,143,70.36
90745,114,71.64
90746,69,103.45
90755,18,68.26
90802,57,59.59
90803,27,69.6
90804,93,72.77
90805,373,111.08
90806,144,92.76
90807,42,59.95
90808,42,46.25
90810,131,106.02
90813,224,89.92
90814,24,69.92
90815,28,34.68
91001,72,74.51
91006,31,45.13
91007,20,36.31
91010,42,56.28
91011,14,26.64
91016,72,62.68
91030,13,28.06
91040,21,43.81
91042,35,50.83
91101,16,50.95
91103,52,57.39
91104,49,48.43
91106,12,27.22
91107,35,48.42
91201,23,41.55
91202,26,59.43
91203,23,77.6
91204,30,72.28
91205,48,51.6
91206,29,47.33
91208,17,49.81
91214,23,33.02
91301,22,33.52
91302,14,20.86
91303,71,89.81
91304,96,69.79
91306,79,60.12
91307,28,47.89
91311,40,54.43
91316,29,62.76
91320,35,30.76
91321,38,38.83
91324,55,88.73
91325,37,57.58
91326,25,31.9
91331,308,89.18
91335,177,90.37
91340,118,92.89
91342,255,90.21
91343,171,88.59
91344,63,54.34
91345,34,69.94
91350,35,38.31
91351,50,55.25
91352,110,70.42
91354,22,22.61
91355,34,31.05
91356,27,41.14
91360,53,52.03
91362,27,27.85
91364,23,43.29
91367,36,48.94
91377,12,31.2
91381,15,35.34
91384,28,41.95
91387,55,45.23
91390,17,26.03
91401,72,64.38
91402,238,93.77
91405,132,81.34
91406,137,81.17
91411,35,51.85
91423,32,63.8
91501,12,27.16
91502,27,101.39
91504,28,51.86
91505,47,84.57
91506,20,50.26
91601,66,67.11
91602,13,65.05
91604,12,28.83
91605,151,80.71
91606,84,58.84
91607,36,63.59
91701,46,43.22
91702,164,82.7
91706,206,75.04
91709,96,38.54
91710,172,74.18
91711,42,64.02
91722,87,83.63
91723,32,67.42
91724,47,69.58
91730,136,76.92
91731,58,54.36
91732,152,64.94
91733,137,83.34
91737,24,37.65
91739,52,64.71
91740,52,79.22
91741,26,42.22
91744,247,85.65
91745,78,63.97
91746,83,78.52
91748,42,36.11
91750,33,41.25
91752,34,40.23
91754,45,67.27
91755,22,34.12
91761,138,70.96
91762,190,98.12
91763,95,81.37
91764,149,80.22
91765,48,42.77
91766,243,89.32
91767,167,101.65
91768,114,96.04
91770,98,56.15
91773,44,51.35
91775,19,31.3
91776,34,36.67
91780,34,47.57
91784,36,70
91786,124,87.93
91789,20,20.68
91790,87,63.95
91791,47,55.5
91792,34,35.99
91801,46,37.53
91803,33,47.29
91901,22,52.41
91902,22,50.22
91910,177,86.93
91911,251,115.69
91913,52,40.61
91914,23,75.48
91915,28,53.1
91932,76,98.75
91941,52,54.7
91942,23,55.53
91945,85,134.86
91950,230,141.87
