geo,statistics,AA_rate
90001,409,71.87
90002,418,83.31
90003,771,113.41
90004,290,42.87
90005,145,34.28
90006,318,50.09
90007,193,48.79
90008,376,118.85
90011,678,63.05
90012,65,19.72
90013,109,98.42
90014,62,201.1
90015,98,47.96
90016,396,79.55
90017,145,48.96
90018,412,73.76
90019,387,54.34
90020,175,42.34
90021,41,112.93
90022,424,62.07
90023,279,60.89
90024,55,22.29
90025,107,29.17
90026,324,43.86
90027,186,36.95
90028,142,48.62
90029,212,54.32
90031,161,36.97
90032,258,51.23
90033,340,66.45
90034,228,43.32
90035,77,29.18
90036,81,25.75
90037,530,89.33
90038,140,41.3
90039,151,52.47
90040,47,35.61
90041,120,40.73
90042,384,58.85
90043,506,106.1
90044,1039,106.68
90045,120,30.2
90046,108,24.78
90047,663,128.35
90048,56,31.47
90049,42,15.67
90056,53,68.42
90057,258,54.54
90058,36,91.92
90059,470,104.84
90061,356,125.13
90062,312,100.41
90063,304,50.84
90064,52,22.48
90065,253,50.85
90066,149,27.67
90068,34,17.79
90069,45,26.3
90077,15,20.22
90201,498,49.39
90210,27,10.26
90211,20,22.24
90212,22,23.11
90220,533,100
90221,426,81.91
90222,288,86.67
90230,154,49.23
90232,50,29.71
90240,111,45.11
90241,192,43.3
90242,264,56.5
90245,32,20.28
90247,323,63.5
90248,78,78.41
90249,182,62.86
90250,631,62.39
90254,17,13.36
90255,436,57
90260,237,65.15
90262,420,59.14
90265,23,12.09
90266,58,18.23
90270,143,57.38
90272,23,10.91
90274,26,11.01
90275,63,15.98
90277,62,20.53
90278,108,29.26
90280,450,44.6
90291,83,29.58
90292,56,28.7
90293,19,21.85
90301,308,75.23
90302,244,75.25
90303,213,76.53
90304,159,51.71
90305,126,84.41
90401,49,69.59
90402,24,23.3
90403,55,28.25
90404,113,52.9
90405,77,36.16
90501,193,44.87
90502,76,43.02
90503,105,25.27
90504,108,34.52
90505,70,19.39
90601,209,63.88
90602,202,79.62
90603,62,33.16
90604,280,65.66
90605,269,61.35
90606,216,62.62
90620,221,48.08
90621,156,42.4
90623,50,33.04
90630,123,26.65
90631,270,38.74
90638,167,35.47
90640,319,48.14
90650,627,54.72
90660,353,52.57
90670,79,48.56
90680,172,52.08
90701,57,31.78
90703,147,31.18
90704,17,39.38
90706,540,65.89
90710,128,44.44
90712,152,46.46
90713,106,39.6
90715,130,61.11
90716,90,54.24
90717,74,34.06
90720,61,30.3
90723,344,57.86
90731,375,58.45
90732,63,32.51
90740,44,20.65
90744,248,43.5
90745,285,47.41
90746,173,63.82
90755,38,38.38
90802,216,50.53
90803,86,33.78
90804,280,64.16
90805,783,77.18
90806,331,72.5
90807,111,37.6
90808,124,34.51
90810,254,61.19
90813,631,106.87
90814,65,39.05
90815,119,30.52
91001,208,56.02
91006,73,24.26
91007,50,18.53
91010,114,41.4
91011,24,12.14
91016,193,45.09
91020,18,23.45
91024,13,14.31
91030,43,18.17
91040,67,31.2
91042,120,42.86
91101,71,39.13
91103,126,41.42
91104,165,42.86
91105,24,20.98
91106,46,20.82
91107,96,30.8
91201,69,29.42
91202,57,27.15
91203,51,37.65
91204,87,52.66
91205,175,41.31
91206,96,29.71
91207,20,17.57
91208,36,23.31
91214,103,40.5
91301,51,20.24
91302,37,15.39
91303,153,58.71
91304,222,42.93
91306,218,45.05
91307,96,39.92
91311,120,34.46
91316,84,34.57
91320,90,23.39
91321,92,25.22
91324,148,58.23
91325,127,39
91326,69,22.15
91331,719,68.08
91335,465,62.74
91340,270,68.44
91342,564,59.59
91343,447,67.9
91344,222,44.62
91345,99,53.62
91350,74,24.08
91351,113,35.64
91352,294,60.23
91354,46,15.91
91355,79,19.4
91356,119,39
91360,125,28.98
91361,32,16.96
91362,69,19.59
91364,74,30.78
91367,129,35.65
91377,24,18.69
91381,41,40.9
91384,76,26.99
91387,126,29.2
91390,35,15.74
91401,174,40.67
91402,517,69.3
91403,58,26.5
91405,317,57.93
91406,377,66.35
91411,140,56.38
91423,79,31.34
91436,38,24.42
91501,48,23.3
91502,52,45.56
91504,102,41.66
91505,150,54.81
91506,97,48.06
91601,201,53.65
91602,44,32.95
91604,65,25.42
91605,379,64.64
91606,225,46.23
91607,112,39.77
91701,123,31.12
91702,336,50.72
91706,409,48.53
91708,16,30.83
91709,187,24.87
91710,367,42.85
91711,97,30.77
91722,178,46.9
91723,86,49.14
91724,123,46
91730,335,50.03
91731,159,50.5
91732,388,57.04
91733,254,52.82
91737,63,27.77
91739,135,46.25
91740,129,50.44
91741,79,31.3
91744,497,53.44
91745,175,33.07
91746,142,40.13
91748,115,24.58
91750,98,29.27
91752,89,30.44
91754,111,35.5
91755,70,22.93
91761,280,42.41
91762,367,58.31
91763,218,57.02
91764,368,65.57
91765,110,23.08
91766,485,62.75
91767,355,65.34
91768,231,61.02
91770,216,33.44
91773,115,32.81
91775,45,16.97
91776,124,31.33
91780,103,29.72
91784,71,31.38
91786,333,63.55
91789,80,17.28
91790,208,43.56
91791,99,30.21
91792,103,28.2
91801,142,25.3
91803,81,27.14
91901,43,25.27
91902,45,24.82
91906,19,53.03
91910,375,48.55
91911,469,57.81
91913,98,21.18
91914,30,31.42
91915,52,29.15
91932,162,58.68
91935,14,17.55
91941,156,36.92
91942,91,39.28
91945,183,75.82
91950,414,73.08
91977,396,67.56
91978,53,41.13
92007,20,17.32
92008,78,29.32
92009,58,16.22
92010,25,16.25
92011,34,15.29
92014,18,14.87
92019,125,30.99
92020,327,55.71
92021,294,47.31
92024,67,14.64
92025,206,40.02
92026,135,27.65
92027,163,30.69
92028,145,31.51
92029,34,16.84
92037,57,19.1
92040,161,37.94
92054,129,29.46
92056,142,27.77
92057,154,27.91
92058,89,22.12
92064,86,18.31
92065,104,29.8
92067,12,31.29
92069,98,19.05
92071,187,35.4
92075,19,18.4
92078,72,23.33
92081,66,23.85
92082,42,23.02
92083,156,43.02
92084,141,28.06
92101,177,59.18
92102,332,67.12
92103,122,52.34
92104,223,45.41
92105,503,63.77
92106,34,19.34
92107,70,29.14
92108,40,30.92
92109,84,24.67
92110,59,27.63
92111,231,50.17
92113,472,87.77
92114,579,84.63
92115,287,54.11
92116,120,40.05
92117,211,46.06
92118,39,23.13
92119,63,28.55
92120,63,27.93
92121,14,26.41
92122,60,19.09
92123,143,47.86
92124,71,20.28
92126,225,33.79
92127,55,15.39
92128,73,17.78
92129,131,24.64
92130,71,17.2
92131,62,21.21
92139,187,48.89
92154,361,44.3
92173,171,55.23
92201,277,37.77
92203,61,18.49
92211,51,31.71
92220,233,82.37
92223,172,50.92
92225,210,113.54
92227,316,113.41
92230,33,108.69
92231,232,57.72
92233,61,71.3
92234,219,39.21
92236,184,43.2
92240,293,92.64
92241,13,19.45
92243,587,110.82
92249,44,72.07
92250,71,77.47
92251,160,84.44
92252,104,126.05
92253,88,19.92
92254,51,34.66
92256,29,78.22
92257,32,670.27
92260,98,41.29
92262,185,69.56
92264,57,46.77
92270,47,43.95
92274,87,28.82
92276,27,36.24
92277,113,50.69
92281,35,106.22
92284,158,74.93
92285,16,109.09
92301,313,94.55
92307,332,94.58
92308,287,75.19
92311,424,129.97
92313,50,40.47
92314,34,21.75
92315,40,82.84
92316,249,79.95
92317,14,141.62
92320,26,32.79
92324,385,60.5
92325,58,54.18
92335,618,63.76
92336,358,39.14
92337,166,42.23
92342,32,55.53
92344,59,31.85
92345,509,67.47
92346,310,54.87
92347,17,70.16
92352,26,42.45
92354,62,29.24
92356,41,66.46
92359,43,48.96
92363,131,267.18
92365,34,84.11
92371,79,52.39
92372,19,50.51
92373,97,32.01
92374,193,45.65
92376,625,68.2
92377,98,43.29
92382,16,56.37
92392,398,72.61
92394,233,71.24
92395,324,82.11
92397,22,42.44
92399,224,44.33
92401,68,364.31
92404,638,101.97
92405,308,101.59
92407,429,61.84
92408,139,85.27
92410,595,108.71
92411,347,131.57
92501,241,104.64
92503,416,47.36
92504,285,55.16
92505,215,45.11
92506,221,48.32
92507,354,65.22
92508,108,31.75
92509,371,50.43
92530,210,40.55
92532,46,37.63
92539,22,55
92543,253,86.68
92544,195,47.14
92545,172,67.96
92548,37,83.92
92549,13,40.7
92551,215,67.53
92553,524,67.99
92555,211,65.64
92557,235,42.83
92562,162,27.4
92563,163,29.09
92567,34,36.77
92570,282,58.17
92571,264,49.5
92582,68,57.31
92583,185,63.91
92584,125,35.25
92585,54,39.95
92586,80,48.4
92587,40,20.45
92591,118,28
