geo,statistics
Alabama,896515
Autauga,7017
Baldwin,26177
Barbour,6892
Bibb,4371
Blount,9264
Bullock,2848
Butler,5247
Calhoun,24533
Chambers,7210
Cherokee,5027
Chilton,8701
Choctaw,2802
Clarke,5343
Clay,2521
Cleburne,2712
Coffee,7650
Colbert,8714
Conecuh,4036
Coosa,2276
Covington,7805
Crenshaw,2794
Cullman,14851
Dale,9429
Dallas Missouri,15588
DeKalb,12711
Elmore,10396
Escambia,9690
Etowah,21508
Fayette,2942
Franklin,6116
Geneva,6086
Greene,3011
Hale,4198
Henry,3275
Houston,19414
Jackson,8610
Jefferson,120153
Lamar,3159
Lauderdale,18344
Lawrence,6697
Lee,32855
Limestone,10786
Lowndes,2862
Macon,6209
Madison,42183
Marengo,5339
Marion,6580
Marshall,20075
Mobile,85452
Monroe,4726
Montgomery,48003
Morgan,19176
Perry,3449
Pickens,4455
Pike,8369
Randolph,5069
Russell,13495
St. Clair,13133
Shelby,17276
Sumter,4608
Talladega,18298
Tallapoosa,9551
Tuscaloosa,36795
Walker,13676
Washington,3564
Wilcox,4126
Winston,6288
Alaska,77494
Aleutians East Borough,496
Aleutians West Census Area,497
Anchorage Borough,26220
Bethel Census Area,4820
Bristol Bay Borough,90
Denali Borough,115
Dillingham Census Area,1035
Fairbanks North Star Borough,8847
Haines Borough,300
Hoonah-Angoon Census Area,373
Juneau Borough,2517
Kenai Peninsula Borough,5986
Ketchikan Gateway Borough,1454
Kodiak Island Borough,1204
Lake and Peninsula Borough,288
Matanuska-Susitna Borough,9357
Nome Census Area,2770
North Slope Borough,1474
Northwest Arctic Borough,1714
Petersburg Census Area,416
Prince of Wales-Hyder Census Area,984
Sitka Borough,763
Skagway Municipality,40
Southeast Fairbanks Census Area,906
Valdez-Cordova Census Area,913
Wade Hampton Census Area,2251
Wrangell City and Borough,273
Yakutat Borough,94
Yukon-Koyukuk Census Area,1298
Arizona,1195931
Apache,23972
Cochise,23361
Coconino,31093
Gila,11088
Graham,8549
Greenlee,1049
La Paz,4905
Maricopa,675704
Mohave,41750
Navajo,31803
Pima,192483
Pinal,63509
Santa Cruz,11621
Yavapai,32855
Yuma,42191
Arkansas,560928
Arkansas,3420
Ashley,4315
Baxter,7172
Benton,31121
Boone,7817
Bradley,2888
Calhoun,983
Carroll,5467
Chicot,3964
Clark,5343
Clay,3466
Cleburne,4302
Cleveland,1475
Columbia,5598
Conway,4801
Craighead,16913
Crawford,13261
Crittenden,11851
Cross,3459
Dallas Alabama,1738
Desha,3408
Drew,4378
Faulkner,16451
Franklin,3310
Fulton,2847
Garland,18889
Grant,2223
Greene,8223
Hempstead,6401
Hot Spring,5801
Howard,2686
Independence,7036
Izard,3125
Jackson,4151
Jefferson,16684
Johnson,4550
Lafayette,2085
Lawrence,4069
Lee,3271
Lincoln,3421
Little River,2399
Logan,4499
Lonoke,8574
Madison,3290
Marion,3499
Miller,8822
Mississippi,11437
Monroe,2112
Montgomery,2212
Nevada,2252
Newton,2169
Ouachita,5457
Perry,1713
Phillips,8008
Pike,2504
Poinsett,6684
Polk,4655
Pope,10523
Prairie,1797
Pulaski,70751
Randolph,3779
St. Francis,7666
Saline,10771
Scott,2646
Searcy,2248
Sebastian,25049
Sevier,4203
Sharp,4103
Stone,3040
Union,8025
Van Buren,3315
Washington,39193
White,14564
Woodruff,1964
Yell,4645
California,6323433
Alameda,200101
Alpine,217
Amador,4425
Butte,47341
Calaveras,6249
Colusa,2835
Contra Costa,118696
Del Norte,5979
El Dorado,16708
Fresno,263134
Glenn,4777
Humboldt,28883
Imperial,38189
Inyo,2139
Kern,195433
Kings,28388
Lake,15790
Lassen,5405
Los Angeles,1873522
Madera,33785
Marin,21058
Mariposa,3260
Mendocino,18375
Merced,62055
Modoc,1772
Mono,1626
Monterey,73768
Napa,13111
Nevada,11579
Orange,396951
Placer,32697
Plumas,2833
Riverside,398252
Sacramento,279494
San Benito,7201
San Bernardino,415927
San Diego,465651
San Francisco,120702
San Joaquin,127598
San Luis Obispo,36010
San Mateo,61857
Santa Barbara,67314
Santa Clara,195277
Santa Cruz,35647
Shasta,30171
Sierra,415
Siskiyou,9244
Solano,58170
Sonoma,58592
Stanislaus,103926
Sutter,17710
Tehama,13980
Trinity,2887
Tulare,132911
Tuolumne,7438
Ventura,96062
Yolo,33838
Yuba,16075
Colorado,688715
Adams,67494
Alamosa,3662
Arapahoe,70578
Archuleta,1749
Baca,708
Bent,1313
Boulder,41787
Broomfield,3706
Chaffee,2289
Cheyenne,223
Clear Creek,859
Conejos,2033
Costilla,984
Crowley,1563
Custer,663
Delta,5179
Denver,120890
Dolores,289
Douglas,12865
Eagle,4899
Elbert,1424
El Paso,82170
Fremont,7433
Garfield,6676
Gilpin,462
Grand,1405
Gunnison,2345
Hinsdale,79
Huerfano,1544
Jackson,212
Jefferson,49867
Kiowa,187
Kit Carson,1045
Lake,1149
La Plata,6307
Larimer,41513
Las Animas,2802
Lincoln,852
Logan,3294
Mesa,21760
Mineral,81
Moffat,1581
Montezuma,5338
Montrose,6614
Morgan,3725
Otero,4211
Ouray,456
Park,1829
Phillips,527
Pitkin,1409
Prowers,2638
Pueblo,31646
Rio Blanco,664
Rio Grande,2416
Routt,2056
Saguache,2036
San Juan,115
San Miguel,845
Sedgwick,343
Summit,2849
Teller,2244
Washington,667
Weld,36828
Yuma,1340
Connecticut,370537
Fairfield,81756
Hartford,106357
Litchfield,12975
Middlesex,10376
New Haven,110945
New London,24476
Tolland,10014
Windham,13638
Delaware,113316
Kent,21798
New Castle,60154
Sussex,31364
District of Columbia,112719
District of Columbia,112719
Florida,3248276
Alachua,63656
Baker,4627
Bay,27752
Bradford,5471
Brevard,79841
Broward,274118
Calhoun,3050
Charlotte,21961
Citrus,25611
Clay,21081
Collier,46593
Columbia,14714
DeSoto,9503
Dixie,3988
Duval,155085
Escambia,50534
Flagler,14919
Franklin,2407
Gadsden,11754
Gilchrist,3446
Glades,3047
Gulf,2974
Hamilton,3377
Hardee,7214
Hendry,9835
Hernando,31705
Highlands,21275
Hillsborough,240099
Holmes,4106
Indian River,22347
Jackson,8680
Jefferson,2775
Lafayette,1838
Lake,46642
Lee,97598
Leon,57223
Levy,9002
Liberty,1638
Madison,4323
Manatee,51089
Marion,60707
Martin,21222
Miami-Dade,531969
Monroe,10312
Nassau,9633
Okaloosa,24347
Okeechobee,9501
Orange,212737
Osceola,55447
Palm Beach,193825
Pasco,61989
Pinellas,127234
Polk,108784
Putnam,18445
St. Johns,18967
St. Lucie,49151
Santa Rosa,18676
Sarasota,48338
Seminole,53737
Sumter,12745
Suwannee,11303
Taylor,4617
Union,2711
Volusia,95456
Wakulla,4416
Walton,10111
Washington,5003
Georgia,1852459
Appling,3874
Atkinson,2152
Bacon,2580
Baker,871
Baldwin,11963
Banks,3218
Barrow,10272
Bartow,16437
Ben Hill,5001
Berrien,4509
Bibb,41206
Bleckley,2369
Brantley,4042
Brooks,4116
Bryan,3582
Bulloch,21380
Burke,6892
Butts,4188
Calhoun,1843
Camden,7029
Candler,2990
Carroll,21761
Catoosa,9528
Charlton,3200
Chatham,53444
Chattahoochee,1966
Chattooga,5523
Cherokee,21055
Clarke,37162
Clay,1039
Clayton,74049
Clinch,1757
Cobb,96826
Coffee,10922
Colquitt,12327
Columbia,13065
Cook,4623
Coweta,16450
Crawford,2464
Crisp,7570
Dade,2597
Dawson,2865
Decatur,8772
DeKalb,146492
Dodge,4862
Dooly,4049
Dougherty,31101
Douglas,20066
Early,3454
Echols,1177
Effingham,6361
Elbert,3922
Emanuel,6583
Evans,2970
Fannin,5010
Fayette,7974
Floyd,21533
Forsyth,12383
Franklin,4286
Fulton,179513
Gilmer,5355
Glascock,625
Glynn,15675
Gordon,10238
Grady,6525
Greene,3583
Gwinnett,122941
Habersham,6966
Hall,35181
Hancock,2902
Haralson,6050
Harris,3491
Hart,6214
Heard,2462
Henry,27359
Houston,24225
Irwin,2260
Jackson,9564
Jasper,2745
Jeff Davis,3709
Jefferson,4491
Jenkins,2994
Johnson,2645
Jones,3932
Lamar,3398
Lanier,2372
Laurens,13609
Lee,3223
Liberty,11455
Lincoln,1567
Long,3385
Lowndes,27240
Lumpkin,5504
McDuffie,5238
McIntosh,3166
Macon,4291
Madison,4745
Marion,2086
Meriwether,4736
Miller,1531
Mitchell,6310
Monroe,3568
Montgomery,2507
Morgan,2591
Murray,8534
Muscogee,35501
Newton,15996
Oconee,2914
Oglethorpe,2333
Paulding,17248
Peach,6414
Pickens,4089
Pierce,3890
Pike,2210
Polk,8370
Pulaski,2632
Putnam,4331
Quitman,641
Rabun,3198
Randolph,2163
Richmond,52680
Rockdale,14945
Schley,990
Screven,3630
Seminole,2060
Spalding,16907
Stephens,5680
Stewart,1916
Sumter,9227
Talbot,1614
Taliaferro,503
Tattnall,5814
Taylor,2374
Telfair,5340
Terrell,2459
Thomas,11168
Tift,10197
Toombs,8060
Towns,1780
Treutlen,1940
Troup,14520
Turner,2489
Twiggs,1983
Union,4109
Upson,6062
Walker,13614
Walton,12260
Ware,8721
Warren,1580
Washington,5185
Wayne,6367
Webster,613
Wheeler,2556
White,4966
Whitfield,20324
Wilcox,2286
Wilkes,2571
Wilkinson,2021
Worth,4607
Hawaii,159988
Hawaii,35283
Honolulu,98870
Kalawao,1
Kauai,8296
Maui,17539
Idaho,250203
Ada,50044
Adams,692
Bannock,13720
Bear Lake,822
Benewah,1629
Bingham,6761
Blaine,2258
Boise,1045
Bonner,7068
Bonneville,15187
Boundary,1904
Butte,439
Camas,133
Canyon,40288
Caribou,776
Cassia,3726
Clark,144
Clearwater,1416
Custer,625
Elmore,4259
Franklin,1571
Fremont,2030
Gem,2903
Gooding,2808
Idaho,3316
Jefferson,3487
Jerome,3789
Kootenai,18911
Latah,7739
Lemhi,1380
Lewis,652
Lincoln,771
Madison,9987
Minidoka,3228
Nez Perce,4904
Oneida,549
Owyhee,2289
Payette,4450
Power,1304
Shoshone,2459
Teton,1347
Twin Falls,14278
Valley,1230
Washington,1884
Illinois,1847371
Adams,8070
Alexander,2385
Bond,2409
Boone,5426
Brown,780
Bureau,4061
Calhoun,599
Carroll,1866
Cass,1779
Champaign,38301
Christian,5081
Clark,2078
Clay,1929
Clinton,3558
Coles,11309
Cook,926826
Crawford,2607
Cumberland,1335
DeKalb,16599
De Witt,1805
Douglas,1991
DuPage,66852
Edgar,3028
Edwards,736
Effingham,3282
Fayette,3542
Ford,1582
Franklin,6611
Fulton,5194
Gallatin,959
Greene,1868
Grundy,4152
Hamilton,1211
Hancock,2446
Hardin,875
Henderson,831
Henry,5313
Iroquois,4036
Jackson,16548
Jasper,1032
Jefferson,5801
Jersey,2183
Jo Daviess,2702
Johnson,1544
Kane,61375
Kankakee,18614
Kendall,5958
Knox,7209
Lake,64229
La Salle,15753
Lawrence,2377
Lee,4018
Livingston,4398
Logan,3747
McDonough,6334
McHenry,23277
McLean,23938
Macon,23220
Macoupin,6339
Madison,34325
Marion,6842
Marshall,1196
Mason,2148
Massac,2597
Menard,1260
Mercer,1349
Monroe,1485
Montgomery,3652
Morgan,4383
Moultrie,1501
Ogle,5412
Peoria,35224
Perry,3393
Piatt,1182
Pike,2519
Pope,877
Pulaski,1462
Putnam,510
Randolph,4140
Richland,2273
Rock Island,19943
St. Clair,51050
Saline,5062
Sangamon,27363
Schuyler,904
Scott,616
Shelby,2589
Stark,617
Stephenson,6936
Tazewell,11460
Union,2890
Vermilion,14675
Wabash,1553
Warren,2420
Washington,1403
Wayne,2342
White,2046
Whiteside,6744
Will,56706
Williamson,9829
Winnebago,46164
Woodford,2422
Indiana,984948
Adams,6138
Allen,56157
Bartholomew,9205
Benton,981
Blackford,1835
Boone,3863
Brown,2040
Carroll,2125
Cass,5898
Clark,14083
Clay,4118
Clinton,4430
Crawford,1999
Daviess,4880
Dearborn,4662
Decatur,3855
De Kalb,5350
Delaware,24275
Dubois,3492
Elkhart,29711
Fayette,4056
Floyd,9924
Fountain,2068
Franklin,2852
Fulton,3161
Gibson,3768
Grant,12023
Greene,5159
Hamilton,13557
Hancock,5126
Harrison,4415
Hendricks,8394
Henry,7139
Howard,14001
Huntington,4152
Jackson,5358
Jasper,3320
Jay,2991
Jefferson,4789
Jennings,4366
Johnson,13495
Knox,5625
Kosciusko,8643
Lagrange,4809
Lake,95358
La Porte,17881
Lawrence,7721
Madison,19697
Marion,194724
Marshall,5861
Martin,1296
Miami,5662
Monroe,30616
Montgomery,6113
Morgan,8617
Newton,1631
Noble,6547
Ohio,665
Orange,3372
Owen,3438
Parke,2815
Perry,2586
Pike,1357
Porter,16958
Posey,2403
Pulaski,1791
Putnam,4216
Randolph,4212
Ripley,3207
Rush,2389
St. Joseph,42538
Scott,4335
Shelby,5555
Spencer,2062
Starke,3815
Steuben,4328
Sullivan,3436
Switzerland,2081
Tippecanoe,33204
Tipton,1551
Union,980
Vanderburgh,26561
Vermillion,2299
Vigo,20128
Wabash,3817
Warren,735
Warrick,5772
Washington,4638
Wayne,14612
Wells,3039
White,2904
Whitley,3137
Iowa,377110
Adair,808
Adams,498
Allamakee,1631
Appanoose,1974
Audubon,746
Benton,2298
Black Hawk,17503
Boone,2482
Bremer,1696
Buchanan,2272
Buena Vista,2626
Butler,1310
Calhoun,1196
Carroll,1882
Cass,1821
Cedar,1541
Cerro Gordo,6418
Cherokee,1202
Chickasaw,1268
Clarke,1187
Clay,1703
Clayton,2057
Clinton,7369
Crawford,2854
Dallas Iowa,4425
Davis,1726
Decatur,1786
