geo,statistics
Alabama,558
Alaska,926
Arizona,1006
Arkansas,1103
California,1413
Colorado,456
Connecticut,402
Delaware,1356
District of Columbia,1128
Florida,916
Georgia,527
Hawaii,3025
Idaho,997
Illinois,594
Indiana,682
Iowa,436
Kansas,518
Kentucky,795
Louisiana,1505
Maine,393
Maryland,1016
Massachusetts,449
Michigan,688
Minnesota,566
Mississippi,540
Missouri,414
Montana,512
Nebraska,666
Nevada,1341
New Hampshire,538
New Jersey,922
New Mexico,1800
New York,671
North Carolina,860
North Dakota,549
Ohio,534
Oklahoma,1321
Oregon Missouri,700
Pennsylvania,1052
Rhode Island,551
South Carolina,637
South Dakota,521
Tennessee,554
Texas Oklahoma,1492
Utah,484
Vermont,557
Virginia,1395
Washington,585
West Virginia,1317
Wisconsin,646
Wyoming,473
Anchorage,980
Birmingham,972
Little Rock,1567
Mesa,2206
Phoenix,1203
Scottsdale,1591
Tempe,1181
Tucson,1344
Berkeley,1454
Fresno,1321
Irvine,1233
Los Angeles,1423
Oakland,1681
Sacramento,1079
San Diego,1920
San Francisco,1183
San Jose,3073
Santa Clara,764
Sunnyvale,1428
Colorado Springs,505
Denver,442
Washington,1128
Gainesville,1119
Jacksonville,908
Miami,2114
Orlando,839
Tampa,1222
Atlanta,492
Roswell,1002
Honolulu,2798
Des Moines,720
Boise,1265
Chicago,593
Indianapolis,808
Wichita,353
Lexington,1009
Baton Rouge,1751
New Orleans,1776
Boston,465
Somerville,1072
Baltimore,1271
Grand Rapids,933
St Paul,639
Kansas City,469
Springfield,598
St Louis,467
Jackson,1087
Cary,1233
Charlotte,772
Durham,1047
Greensboro,915
Raleigh,806
Lincoln,690
Omaha,581
Newark,875
Albuquerque,2220
Las Vegas,1340
Reno,2329
Albany,1335
Buffalo,863
New York,685
Rochester,942
Cleveland,1371
Columbus,714
Dayton,851
Oklahoma City,1333
Tulsa,1611
Beaverton,1054
Eugene,1107
Portland,677
Philadelphia,1179
Pittsburgh,1251
State College,1641
Providence,874
Columbia,990
Greenville,1127
Knoxville,1026
Memphis,567
Nashville,613
Austin,1695
Dallas Texas,1324
Ft Worth,1729
Houston,1531
Irving,1736
Lubbock,1888
Plano,1893
San Antonio,1470
Salt Lake City,609
Arlington,1462
Norfolk,1479
Reston,1805
Richmond,1218
Bellevue,670
Seattle,707
Spokane,1058
Madison,801
Milwaukee,674
