scode,ccode,state,geo,statistics
1,0,Alabama,Alabama,4779736
1,1,Alabama,Autauga,54571
1,3,Alabama,Baldwin,182265
1,5,Alabama,Barbour,27457
1,7,Alabama,Bibb,22915
1,9,Alabama,Blount,57322
1,11,Alabama,Bullock,10914
1,13,Alabama,Butler,20947
1,15,Alabama,Calhoun,118572
1,17,Alabama,Chambers,34215
1,19,Alabama,Cherokee,25989
1,21,Alabama,Chilton,43643
1,23,Alabama,Choctaw,13859
1,25,Alabama,Clarke,25833
1,27,Alabama,Clay,13932
1,29,Alabama,Cleburne,14972
1,31,Alabama,Coffee,49948
1,33,Alabama,Colbert,54428
1,35,Alabama,Conecuh,13228
1,37,Alabama,Coosa,11539
1,39,Alabama,Covington,37765
1,41,Alabama,Crenshaw,13906
1,43,Alabama,Cullman,80406
1,45,Alabama,Dale,50251
1,47,Alabama,Dallas Alabama,43820
1,49,Alabama,DeKalb,71109
1,51,Alabama,Elmore,79303
1,53,Alabama,Escambia,38319
1,55,Alabama,Etowah,104430
1,57,Alabama,Fayette,17241
1,59,Alabama,Franklin,31704
1,61,Alabama,Geneva,26790
1,63,Alabama,Greene,9045
1,65,Alabama,Hale,15760
1,67,Alabama,Henry,17302
1,69,Alabama,Houston,101547
1,71,Alabama,Jackson,53227
1,73,Alabama,Jefferson,658466
1,75,Alabama,Lamar,14564
1,77,Alabama,Lauderdale,92709
1,79,Alabama,Lawrence,34339
1,81,Alabama,Lee,140247
1,83,Alabama,Limestone,82782
1,85,Alabama,Lowndes,11299
1,87,Alabama,Macon,21452
1,89,Alabama,Madison,334811
1,91,Alabama,Marengo,21027
1,93,Alabama,Marion,30776
1,95,Alabama,Marshall,93019
1,97,Alabama,Mobile,412992
1,99,Alabama,Monroe,23068
1,101,Alabama,Montgomery,229363
1,103,Alabama,Morgan,119490
1,105,Alabama,Perry,10591
1,107,Alabama,Pickens,19746
1,109,Alabama,Pike,32899
1,111,Alabama,Randolph,22913
1,113,Alabama,Russell,52947
1,115,Alabama,St. Clair,83593
1,117,Alabama,Shelby,195085
1,119,Alabama,Sumter,13763
1,121,Alabama,Talladega,82291
1,123,Alabama,Tallapoosa,41616
1,125,Alabama,Tuscaloosa,194656
1,127,Alabama,Walker,67023
1,129,Alabama,Washington,17581
1,131,Alabama,Wilcox,11670
1,133,Alabama,Winston,24484
2,0,Alaska,Alaska,710231
2,13,Alaska,Aleutians East Borough,3141
2,16,Alaska,Aleutians West,5561
2,20,Alaska,Anchorage Municipality,291826
2,50,Alaska,Bethel,17013
2,60,Alaska,Bristol Bay Borough,997
2,68,Alaska,Denali Borough,1826
2,70,Alaska,Dillingham,4847
2,90,Alaska,Fairbanks North Star,97581
2,100,Alaska,Haines Borough,2508
2,105,Alaska,Hoonah-Angoon,2150
2,110,Alaska,Juneau City,31275
2,122,Alaska,Kenai Peninsula Borough,55400
2,130,Alaska,Ketchikan Gateway Borough,13477
2,150,Alaska,Kodiak Island Borough,13592
2,164,Alaska,Lake and Peninsula Borough,1631
2,170,Alaska,Matanuska-Susitna Borough,88995
2,180,Alaska,Nome,9492
2,185,Alaska,North Slope Borough,9430
2,188,Alaska,Northwest Arctic Borough,7523
2,195,Alaska,Petersburg,3815
2,198,Alaska,Prince of Wales-Hyder,5559
2,220,Alaska,Sitka City and Borough,8881
2,230,Alaska,Skagway Municipality,968
2,240,Alaska,Southeast Fairbanks,7029
2,261,Alaska,Valdez-Cordova,9636
2,270,Alaska,Wade Hampton,7459
2,275,Alaska,Wrangell City and Borough,2369
2,282,Alaska,Yakutat City and Borough,662
2,290,Alaska,Yukon-Koyukuk,5588
4,0,Arizona,Arizona,6392017
4,1,Arizona,Apache,71518
4,3,Arizona,Cochise,131346
4,5,Arizona,Coconino,134421
4,7,Arizona,Gila,53597
4,9,Arizona,Graham,37220
4,11,Arizona,Greenlee,8437
4,12,Arizona,La Paz,20489
4,13,Arizona,Maricopa,3817117
4,15,Arizona,Mohave,200186
4,17,Arizona,Navajo,107449
4,19,Arizona,Pima,980263
4,21,Arizona,Pinal,375770
4,23,Arizona,Santa Cruz,47420
4,25,Arizona,Yavapai,211033
4,27,Arizona,Yuma,195751
5,0,Arkansas,Arkansas,2915918
5,1,Arkansas,Arkansas,19019
5,3,Arkansas,Ashley,21853
5,5,Arkansas,Baxter,41513
5,7,Arkansas,Benton,221339
5,9,Arkansas,Boone,36903
5,11,Arkansas,Bradley,11508
5,13,Arkansas,Calhoun,5368
5,15,Arkansas,Carroll,27446
5,17,Arkansas,Chicot,11800
5,19,Arkansas,Clark,22995
5,21,Arkansas,Clay,16083
5,23,Arkansas,Cleburne,25970
5,25,Arkansas,Cleveland,8689
5,27,Arkansas,Columbia,24552
5,29,Arkansas,Conway,21273
5,31,Arkansas,Craighead,96443
5,33,Arkansas,Crawford,61948
5,35,Arkansas,Crittenden,50902
5,37,Arkansas,Cross,17870
5,39,Arkansas,Dallas Arkansas,8116
5,41,Arkansas,Desha,13008
5,43,Arkansas,Drew,18509
5,45,Arkansas,Faulkner,113237
5,47,Arkansas,Franklin,18125
5,49,Arkansas,Fulton,12245
5,51,Arkansas,Garland,96024
5,53,Arkansas,Grant,17853
5,55,Arkansas,Greene,42090
5,57,Arkansas,Hempstead,22609
5,59,Arkansas,Hot Spring,32923
5,61,Arkansas,Howard,13789
5,63,Arkansas,Independence,36647
5,65,Arkansas,Izard,13696
5,67,Arkansas,Jackson,17997
5,69,Arkansas,Jefferson,77435
5,71,Arkansas,Johnson,25540
5,73,Arkansas,Lafayette,7645
5,75,Arkansas,Lawrence,17415
5,77,Arkansas,Lee,10424
5,79,Arkansas,Lincoln,14134
5,81,Arkansas,Little River,13171
5,83,Arkansas,Logan,22353
5,85,Arkansas,Lonoke,68356
5,87,Arkansas,Madison,15717
5,89,Arkansas,Marion,16653
5,91,Arkansas,Miller,43462
5,93,Arkansas,Mississippi,46480
5,95,Arkansas,Monroe,8149
5,97,Arkansas,Montgomery,9487
5,99,Arkansas,Nevada,8997
5,101,Arkansas,Newton,8330
5,103,Arkansas,Ouachita,26120
5,105,Arkansas,Perry,10445
5,107,Arkansas,Phillips,21757
5,109,Arkansas,Pike,11291
5,111,Arkansas,Poinsett,24583
5,113,Arkansas,Polk,20662
5,115,Arkansas,Pope,61754
5,117,Arkansas,Prairie,8715
5,119,Arkansas,Pulaski,382748
5,121,Arkansas,Randolph,17969
5,123,Arkansas,St. Francis,28258
5,125,Arkansas,Saline,107118
5,127,Arkansas,Scott,11233
5,129,Arkansas,Searcy,8195
5,131,Arkansas,Sebastian,125744
5,133,Arkansas,Sevier,17058
5,135,Arkansas,Sharp,17264
5,137,Arkansas,Stone,12394
5,139,Arkansas,Union,41639
5,141,Arkansas,Van Buren,17295
5,143,Arkansas,Washington,203065
5,145,Arkansas,White,77076
5,147,Arkansas,Woodruff,7260
5,149,Arkansas,Yell,22185
6,0,California,California,37253956
6,1,California,Alameda,1510271
6,3,California,Alpine,1175
6,5,California,Amador,38091
6,7,California,Butte,220000
6,9,California,Calaveras,45578
6,11,California,Colusa,21419
6,13,California,Contra Costa,1049025
6,15,California,Del Norte,28610
6,17,California,El Dorado,181058
6,19,California,Fresno,930450
6,21,California,Glenn,28122
6,23,California,Humboldt,134623
6,25,California,Imperial,174528
6,27,California,Inyo,18546
6,29,California,Kern,839631
6,31,California,Kings,152982
6,33,California,Lake,64665
6,35,California,Lassen,34895
6,37,California,Los Angeles,9818605
6,39,California,Madera,150865
6,41,California,Marin,252409
6,43,California,Mariposa,18251
6,45,California,Mendocino,87841
6,47,California,Merced,255793
6,49,California,Modoc,9686
6,51,California,Mono,14202
6,53,California,Monterey,415057
6,55,California,Napa,136484
6,57,California,Nevada,98764
6,59,California,Orange,3010232
6,61,California,Placer,348432
6,63,California,Plumas,20007
6,65,California,Riverside,2189641
6,67,California,Sacramento,1418788
6,69,California,San Benito,55269
6,71,California,San Bernardino,2035210
6,73,California,San Diego,3095313
6,75,California,San Francisco,805235
6,77,California,San Joaquin,685306
6,79,California,San Luis Obispo,269637
6,81,California,San Mateo,718451
6,83,California,Santa Barbara,423895
6,85,California,Santa Clara,1781642
6,87,California,Santa Cruz,262382
6,89,California,Shasta,177223
6,91,California,Sierra,3240
6,93,California,Siskiyou,44900
6,95,California,Solano,413344
6,97,California,Sonoma,483878
6,99,California,Stanislaus,514453
6,101,California,Sutter,94737
6,103,California,Tehama,63463
6,105,California,Trinity,13786
6,107,California,Tulare,442179
6,109,California,Tuolumne,55365
6,111,California,Ventura,823318
6,113,California,Yolo,200849
6,115,California,Yuba,72155
8,0,Colorado,Colorado,5029196
8,1,Colorado,Adams,441603
8,3,Colorado,Alamosa,15445
8,5,Colorado,Arapahoe,572003
8,7,Colorado,Archuleta,12084
8,9,Colorado,Baca,3788
8,11,Colorado,Bent,6499
8,13,Colorado,Boulder,294567
8,14,Colorado,Broomfield,55889
8,15,Colorado,Chaffee,17809
8,17,Colorado,Cheyenne,1836
8,19,Colorado,Clear Creek,9088
8,21,Colorado,Conejos,8256
8,23,Colorado,Costilla,3524
8,25,Colorado,Crowley,5823
8,27,Colorado,Custer,4255
8,29,Colorado,Delta,30952
8,31,Colorado,Denver,600158
8,33,Colorado,Dolores,2064
8,35,Colorado,Douglas,285465
8,37,Colorado,Eagle,52197
8,39,Colorado,Elbert,23086
8,41,Colorado,El Paso,622263
8,43,Colorado,Fremont,46824
8,45,Colorado,Garfield,56389
8,47,Colorado,Gilpin,5441
8,49,Colorado,Grand,14843
8,51,Colorado,Gunnison,15324
8,53,Colorado,Hinsdale,843
8,55,Colorado,Huerfano,6711
8,57,Colorado,Jackson,1394
8,59,Colorado,Jefferson,534543
8,61,Colorado,Kiowa,1398
8,63,Colorado,Kit Carson,8270
8,65,Colorado,Lake,7310
8,67,Colorado,La Plata,51334
8,69,Colorado,Larimer,299630
8,71,Colorado,Las Animas,15507
8,73,Colorado,Lincoln,5467
8,75,Colorado,Logan,22709
8,77,Colorado,Mesa,146723
8,79,Colorado,Mineral,712
8,81,Colorado,Moffat,13795
8,83,Colorado,Montezuma,25535
8,85,Colorado,Montrose,41276
8,87,Colorado,Morgan,28159
8,89,Colorado,Otero,18831
8,91,Colorado,Ouray,4436
8,93,Colorado,Park,16206
8,95,Colorado,Phillips,4442
8,97,Colorado,Pitkin,17148
8,99,Colorado,Prowers,12551
8,101,Colorado,Pueblo,159063
8,103,Colorado,Rio Blanco,6666
8,105,Colorado,Rio Grande,11982
8,107,Colorado,Routt,23509
8,109,Colorado,Saguache,6108
8,111,Colorado,San Juan,699
8,113,Colorado,San Miguel,7359
8,115,Colorado,Sedgwick,2379
8,117,Colorado,Summit,27994
8,119,Colorado,Teller,23350
8,121,Colorado,Washington,4814
8,123,Colorado,Weld,252825
8,125,Colorado,Yuma,10043
9,0,Connecticut,Connecticut,3574097
9,1,Connecticut,Fairfield,916829
9,3,Connecticut,Hartford,894014
9,5,Connecticut,Litchfield,189927
9,7,Connecticut,Middlesex,165676
9,9,Connecticut,New Haven,862477
9,11,Connecticut,New London,274055
9,13,Connecticut,Tolland,152691
9,15,Connecticut,Windham,118428
10,0,Delaware,Delaware,897934
10,1,Delaware,Kent,162310
10,3,Delaware,New Castle,538479
10,5,Delaware,Sussex,197145
11,0,District of Columbia,District of Columbia,601723
11,1,District of Columbia,District of Columbia,601723
12,0,Florida,Florida,18801310
12,1,Florida,Alachua,247336
12,3,Florida,Baker,27115
12,5,Florida,Bay,168852
12,7,Florida,Bradford,28520
12,9,Florida,Brevard,543376
12,11,Florida,Broward,1748066
12,13,Florida,Calhoun,14625
12,15,Florida,Charlotte,159978
12,17,Florida,Citrus,141236
12,19,Florida,Clay,190865
12,21,Florida,Collier,321520
12,23,Florida,Columbia,67531
12,27,Florida,DeSoto,34862
12,29,Florida,Dixie,16422
12,31,Florida,Duval,864263
12,33,Florida,Escambia,297619
12,35,Florida,Flagler,95696
12,37,Florida,Franklin,11549
12,39,Florida,Gadsden,46389
12,41,Florida,Gilchrist,16939
12,43,Florida,Glades,12884
12,45,Florida,Gulf,15863
12,47,Florida,Hamilton,14799
12,49,Florida,Hardee,27731
12,51,Florida,Hendry,39140
12,53,Florida,Hernando,172778
12,55,Florida,Highlands,98786
12,57,Florida,Hillsborough,1229226
12,59,Florida,Holmes,19927
12,61,Florida,Indian River,138028
12,63,Florida,Jackson,49746
12,65,Florida,Jefferson,14761
12,67,Florida,Lafayette,8870
12,69,Florida,Lake,297052
12,71,Florida,Lee,618754
12,73,Florida,Leon,275487
12,75,Florida,Levy,40801
12,77,Florida,Liberty,8365
12,79,Florida,Madison,19224
12,81,Florida,Manatee,322833
12,83,Florida,Marion,331298
12,85,Florida,Martin,146318
12,86,Florida,Miami-Dade,2496435
12,87,Florida,Monroe,73090
12,89,Florida,Nassau,73314
12,91,Florida,Okaloosa,180822
12,93,Florida,Okeechobee,39996
12,95,Florida,Orange,1145956
12,97,Florida,Osceola,268685
12,99,Florida,Palm Beach,1320134
12,101,Florida,Pasco,464697
12,103,Florida,Pinellas,916542
12,105,Florida,Polk,602095
12,107,Florida,Putnam,74364
12,109,Florida,St. Johns,190039
12,111,Florida,St. Lucie,277789
12,113,Florida,Santa Rosa,151372
12,115,Florida,Sarasota,379448
12,117,Florida,Seminole,422718
12,119,Florida,Sumter,93420
12,121,Florida,Suwannee,41551
12,123,Florida,Taylor,22570
12,125,Florida,Union,15535
12,127,Florida,Volusia,494593
12,129,Florida,Wakulla,30776
12,131,Florida,Walton,55043
12,133,Florida,Washington,24896
13,0,Georgia,Georgia,9687653
13,1,Georgia,Appling,18236
13,3,Georgia,Atkinson,8375
13,5,Georgia,Bacon,11096
13,7,Georgia,Baker,3451
13,9,Georgia,Baldwin,45720
13,11,Georgia,Banks,18395
13,13,Georgia,Barrow,69367
13,15,Georgia,Bartow,100157
13,17,Georgia,Ben Hill,17634
13,19,Georgia,Berrien,19286
13,21,Georgia,Bibb,155547
13,23,Georgia,Bleckley,13063
13,25,Georgia,Brantley,18411
13,27,Georgia,Brooks,16243
13,29,Georgia,Bryan,30233
13,31,Georgia,Bulloch,70217
13,33,Georgia,Burke,23316
13,35,Georgia,Butts,23655
13,37,Georgia,Calhoun,6694
13,39,Georgia,Camden,50513
13,43,Georgia,Candler,10998
13,45,Georgia,Carroll,110527
13,47,Georgia,Catoosa,63942
13,49,Georgia,Charlton,12171
13,51,Georgia,Chatham,265128
13,53,Georgia,Chattahoochee,11267
13,55,Georgia,Chattooga,26015
