geo,statistics
Alabama,4706967
Alaska,715616
Arizona,6401276
Arkansas,2865097
California,37303312
Colorado,5069069
Connecticut,3484176
Delaware,890737
District of Columbia,598151
Florida,18912451
Georgia,9652654
Hawaii,1356821
Idaho,1565489
Illinois,12573692
Indiana,6342403
Iowa,2974222
Kansas,2802171
Kentucky,4247112
Louisiana,4471146
Maine,1293457
Maryland,5744439
Massachusetts,6414760
Michigan,9663758
Minnesota,5257461
Mississippi,2890915
Missouri,5838007
Montana,980556
Nebraska,1800892
Nevada,2718582
New Hampshire,1280031
New Jersey,8691686
New Mexico,2044796
New York,19064060
North Carolina,9498969
North Dakota,674845
Ohio,11227437
Oklahoma,3699655
Oregon,3826419
Pennsylvania,12353852
Rhode Island,1010452
South Carolina,4585462
South Dakota,804310
Tennessee,6295985
Texas,25450524
Utah,2806006
Vermont,601606
Virginia,7936889
Washington,6761950
West Virginia,1801127
Wisconsin,5573135
Wyoming,561478
