geo,white,black,indian,asian,hawaiian,statistics
Alabama,68.5,26.2,0.6,1.1,0.1,1
Alaska,66.7,3.3,14.8,5.4,1,1
Arizona,73,4.1,4.6,2.8,0.2,1
Arkansas,77,15.4,0.8,1.2,0.2,1
California,57.6,6.2,1,13,0.4,1
Colorado,81.3,4,1.1,2.8,0.1,1
Connecticut,77.6,10.1,0.3,3.8,(Z),1
Delaware,68.9,21.4,0.5,3.2,(Z),1
District of Columbia,38.5,50.7,0.3,3.5,0.1,1
Florida,75,16,0.4,2.4,0.1,1
Georgia,59.7,30.5,0.3,3.2,0.1,1
Hawaii,24.7,1.6,0.3,38.6,10,5
Idaho,89.1,0.6,1.4,1.2,0.1,1
Illinois,71.5,14.5,0.3,4.6,(Z),1
Indiana,84.3,9.1,0.3,1.6,(Z),1
Iowa,91.3,2.9,0.4,1.7,0.1,1
Kansas,83.8,5.9,1,2.4,0.1,1
Kentucky,87.8,7.8,0.2,1.1,0.1,1
Louisiana,62.6,32,0.7,1.5,(Z),1
Maine,95.2,1.2,0.6,1,(Z),1
Maryland,58.2,29.4,0.4,5.5,0.1,1
Massachusetts,80.4,6.6,0.3,5.3,(Z),1
Michigan,78.9,14.2,0.6,2.4,(Z),1
Minnesota,85.3,5.2,1.1,4,(Z),1
Mississippi,59.1,37,0.5,0.9,(Z),1
Missouri,82.8,11.6,0.5,1.6,0.1,1
Montana,89.4,0.4,6.3,0.6,0.1,1
Nebraska,86.1,4.5,1,1.8,0.1,1
Nevada,66.2,8.1,1.2,7.2,0.6,1
New Hampshire,93.9,1.1,0.2,2.2,(Z),1
New Jersey,68.6,13.7,0.3,8.3,(Z),1
New Mexico,68.4,2.1,9.4,1.4,0.1,1
New York,65.7,15.9,0.6,7.3,(Z),1
North Carolina,68.5,21.5,1.3,2.2,0.1,1
North Dakota,90,1.2,5.4,1,(Z),1
Ohio,82.7,12.2,0.2,1.7,(Z),1
Oklahoma,72.2,7.4,8.6,1.7,0.1,1
Oregon,83.6,1.8,1.4,3.7,0.3,1
Pennsylvania,81.9,10.8,0.2,2.7,(Z),1
Rhode Island,81.4,5.7,0.6,2.9,0.1,1
South Carolina,66.2,27.9,0.4,1.3,0.1,1
South Dakota,85.9,1.3,8.8,0.9,(Z),1
Tennessee,77.6,16.7,0.3,1.4,0.1,1
Texas,70.4,11.8,0.7,3.8,0.1,1
Utah,86.1,1.1,1.2,2,0.9,1
Vermont,95.3,1,0.4,1.3,(Z),1
Virginia,68.6,19.4,0.4,5.5,0.1,1
Washington,77.3,3.6,1.5,7.2,0.6,1
West Virginia,93.9,3.4,0.2,0.7,(Z),1
Wisconsin,86.2,6.3,1,2.3,(Z),1
Wyoming,90.7,0.8,2.4,0.8,0.1,1
